valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486114005,2018,"""201 Takapu Road, Otaki""",,,1734.68
1486114006,2018,"""195 Takapu Road, Otaki""",,,1541.36
1486114300,2018,"""Row Otaki Golf Links, Otaki""",,,2595.33
1486114400,2018,"""Takapu Road, Otaki""",,,1156.8
1486114600,2018,"""Takapu Road, Otaki""",,,7221.38
1486115001,2018,"""44 Atkins Road, Otaki""",,,2162.45
1486115002,2018,"""Atkins Road, Otaki""",,,0
1486115003,2018,"""Atkins Road, Otaki""",,,0
1486115101,2018,"""38 Atkins Road, Otaki""",,,2237.52
1486115102,2018,"""22 Atkins Road, Otaki""",,,1397.37
1486115103,2018,"""42 Atkins Road, Otaki""",,,1350.16
1486115200,2018,"""8 Atkins Road, Otaki""",,,7158.12
1486115600,2018,"""2 Atkins Road, Otaki""",,,1999.64
1486115700,2018,"""7 Atkins Road, Otaki""",,,1745.69
1486115800,2018,"""41 Atkins Road, Otaki""",,,1777.58
1486115900,2018,"""29 Atkins Road, Otaki""",,,1851.73
1486116000,2018,"""Atkins Road, Otaki""",,,0
1486116300,2018,"""456 State Highway 1 North, Otaki""",,,1844.62
1486116400,2018,"""426 State Highway 1 North, Otaki""",,,2537.32
1486116700,2018,"""415 State Highway 1 North, Otaki""",,,1493.29
1486116800,2018,"""371 State Highway 1 North, Otaki""",,,1264.88
1486117000,2018,"""State Highway 1 South, Otaki""",,,4835.98
1486117001,2018,"""428 State Highway 1 North, Otaki""",,,2645.18
1486117002,2018,"""424 State Highway 1 North, Otaki""",,,2577.7
1486117003,2018,"""State Highway 1 North, Otaki""",,,3088.77
1486117004,2018,"""270 State Highway 1 North, Otaki""",,,2737.67
1486117005,2018,"""State Highway 1 North, Otaki""",,,2148.94
1486117100,2018,"""426 State Highway 1 North, Otaki""",,,0
1486117500,2018,"""2 Forest Lakes Road, Otaki""",,,4551.9
1486118000,2018,"""72 Forest Lakes Road, Otaki""",,,11593.48
1486118100,2018,"""94 Forest Lakes Road, Otaki""",,,1945.39
1486118200,2018,"""92 Forest Lakes Road, Otaki""",,,2567.53
1486118201,2018,"""92A Forest Lakes Road, Otaki""",,,1827.62
1486119000,2018,"""156 Forest Lakes Road, Otaki""",,,6497.15
